,ADX,SMA,RSI,MACD,MACD_Hist,MACD_Signal,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
197,17.6049,34.9760,44.1919,-0.6176,-0.2239,-0.3938,32.0000,34.8100,31.6200,34.1300,1.0802,7729800,0.0000,1.0000
198,16.9998,35.0950,53.0998,-0.4839,-0.0721,-0.4118,34.1300,36.8800,33.5000,36.0000,1.1394,8593600,0.0000,1.0000
199,16.4552,34.9200,43.5572,-0.5580,-0.1169,-0.4410,36.3100,36.5000,33.6300,33.6900,1.0663,5589700,0.0000,1.0000
200,17.5400,34.6200,40.2840,-0.6846,-0.1949,-0.4897,34.3100,34.4400,32.0000,32.7500,1.0365,6440800,0.0000,1.0000
201,18.5162,34.4640,45.1557,-0.6962,-0.1652,-0.5310,33.3800,33.7500,32.7500,33.7500,1.0682,5058900,0.0000,1.0000
202,20.0626,34.0450,39.1571,-0.8322,-0.2409,-0.5913,33.9400,33.9400,32.0000,32.0600,1.0147,6072400,0.0000,1.0000
203,21.7790,33.6510,38.9530,-0.9341,-0.2742,-0.6598,32.6900,32.8800,31.6200,32.0000,1.0128,5293900,0.0000,1.0000
204,23.2064,33.3380,38.9530,-1.0032,-0.2747,-0.7285,32.6900,32.9400,31.8700,32.0000,1.0128,3493300,0.0000,1.0000
205,22.5353,33.2070,48.6011,-0.9064,-0.1423,-0.7641,32.2500,34.0000,32.0000,33.7500,1.0682,6160700,0.0000,1.0000
206,21.9313,33.2630,43.1844,-0.9199,-0.1246,-0.7952,32.8800,33.3100,32.2500,32.5000,1.0286,4477200,0.0000,1.0000
207,20.7954,33.2060,48.5837,-0.8354,-0.0321,-0.8033,32.7500,33.6300,32.7500,33.5600,1.0622,2363500,0.0000,1.0000
208,18.7781,32.8870,45.2063,-0.8196,-0.0130,-0.8065,33.7500,34.1900,32.6300,32.8100,1.0384,3342400,0.0000,1.0000
209,16.9625,32.8620,48.5449,-0.7475,0.0472,-0.7947,32.9400,33.7500,32.7500,33.4400,1.0584,2951900,0.0000,1.0000
